,1. open,2. high,3. low,4. close,5. volume,BTC_USD_Close
2024-07-21,67163.82000000,68380.00000000,65820.18000000,68181.28000000,6027.86201344,68181.28
2024-07-22,68181.16000000,68495.00000000,66569.42000000,67558.22000000,11844.79119584,67558.22
2024-07-23,67560.03000000,67786.84000000,65444.30000000,65939.24000000,10791.03782177,65939.24
2024-07-24,65939.24000000,67131.17000000,65090.61000000,65366.40000000,7702.25551129,65366.4
2024-07-25,65358.86000000,66161.98000000,63412.46000000,65795.42000000,10452.25571747,65795.42
2024-07-26,65795.52000000,68216.66000000,65705.60000000,67924.08000000,9315.20918753,67924.08
2024-07-27,67921.46000000,69418.15000000,66635.28000000,67899.41000000,10233.62198513,67899.41
2024-07-28,67901.81000000,68308.82000000,67021.80000000,68244.30000000,3505.54836910,68244.3
2024-07-29,68244.30000000,70000.00000000,66400.01000000,66771.45000000,13641.48475825,66771.45
2024-07-30,66767.14000000,66994.15000000,65283.68000000,66169.68000000,8733.57157991,66169.68
2024-07-31,66169.68000000,66837.40000000,64500.00000000,64609.62000000,8986.37529253,64609.62
2024-08-01,64609.61000000,65593.56000000,62212.81000000,65288.18000000,15636.72205775,65288.18
2024-08-02,65293.48000000,65557.86000000,61150.00000000,61418.06000000,15390.00963957,61418.06
2024-08-03,61418.06000000,62171.58000000,59819.13000000,60674.93000000,8019.39450918,60674.93
2024-08-04,60674.93000000,61082.30000000,57123.00000000,58130.95000000,10319.01091658,58130.95
2024-08-05,58131.31000000,58282.83000000,49050.01000000,54029.12000000,59125.78926672,54029.12
2024-08-06,54037.90000000,57091.16000000,53965.57000000,56048.08000000,16897.67519536,56048.08
2024-08-07,56048.07000000,57757.15000000,54564.15000000,55148.10000000,13971.51518710,55148.1
2024-08-08,55144.14000000,62755.24000000,54737.32000000,61705.58000000,20623.04985861,61705.58
2024-08-09,61704.05000000,61764.38000000,59552.46000000,60862.13000000,11569.80744379,60862.13
2024-08-10,60864.71000000,61500.00000000,60255.61000000,60935.02000000,3157.63609699,60935.02
2024-08-11,60935.01000000,61868.69000000,58312.63000000,58722.49000000,5229.37008498,58722.49
2024-08-12,58717.44000000,60721.77000000,57653.31000000,59358.78000000,12183.92944247,59358.78
2024-08-13,59358.78000000,61615.43000000,58402.01000000,60603.19000000,10879.76363828,60603.19
2024-08-14,60603.19000000,61827.20000000,58453.56000000,58690.62000000,12938.61473824,58690.62
2024-08-15,58690.62000000,59883.49000000,56120.00000000,57543.61000000,14506.63316989,57543.61
